Id;Nombre;Fecha de muerte;Fecha de beatificación;Fecha de canonización;Mini biografía;Virtudes centrales;VC Observaciones;Fuente
84;Rita de Casia;1447- 57;;;Nació en  Casia, Italia. Su verdadero nombre era Margarita, pero desde muy pequeña la llamaron Rita, y así fue conocida durante gran parte de su vida. A medida que iba creciendo fue madurando su vocación religiosa, pero sus parientes la obligaron a casarse con un hombre violento llamado Paolo Mancini, con el cual tuvo dos hijos. Tras dieciocho años de vida en común, Rita logró convertir a  su marido, pero poco tiempo después éste murió asesinado. Rita  perdonó a sus asesinos, pero no hicieron lo mismo sus hijos, que pensaban vengar su muerte. Así, la santa con un amor heroico por sus almas, había suplicado a Jesucristo que ambos adolescentes murieran, porque temía que pudieran mancharse con el pecado mortal. Al estar sola después de la muerte de sus hijos, decide ingresar al monasterio de María Magdalena de Casia, para llevar una vida monástica.  Su intensa devoción mística a la pasión de Cristo fue coronada por un milagro: mientras escuchaba la predicación  del santo Santiago de la Marca, el viernes santo, recibió los estigmas de una de  las espinas de la corana de Cristo en su frente. Esta herida se infectó, y la obligó a vivir aislada en su celda, a excepción de una breve peregrinación a Roma, durante la cual milagrosamente la herida  cicatrizó, para volverse a abrir a su regreso. Poco tiempo después, y tras sufrir una larga enfermedad, Rita muere y a partir de ese momento comenzó su fama de taumaturga. Es conocida como la poderosa abogada de las causas imposibles.;;;C. Leonardi, A, Riccardi, G, Zarri
85;Margarita de Antioquia;;;;"Margarita es una  santa legendaria cuya  vida, relata por varias fuentes griegas, se hace celebre en Occidente gracias a la Leyenda Dorada. Nacida en  la ciudad de Antioquia de Pisidia, hija única de un sacerdote pagano llamado Edisio, se convierte al cristianismo por mediación de su nodriza. Más tarde repara en ella el gobernador romano Olibrio, quien desea desposarla; sin embargo, Margarita que  había  pronunciado voto de  virginidad, resiste a su conquista y es arrojada en prisión. En este lugar es fuertemente  azotada, desgarrada con uñas de hierro y clavos enclavados; asimismo, se ve agredida  mientras se encuentra orando por el Diablo que toma la forma de un dragón, el cual intenta devorarla pero es destruido por una cruz que lleva la santa en su pecho. Después de este acontecimiento, sus heridas sanaron y cicatrizaron rápidamente, siendo nuevamente tortura desnuda con brazas encendidas en los pechos y costados. Tales sufrimientos fueron tan atroces, que el mismo Olibrio no es capaz de contemplarlos y oculta la vista valiéndose de sus ropajes.  Finalmente Margarita es decapitada.";;;"Rivadeneira;G.Suchaux y M. Pastourea;"
86;Rosa de Viterbo;1251;;;"Rosa nació en Viterbo, Italia. Hija de padres de modesta condición llamados Juan y Catalina, quienes eran agricultores y tenían una casa en el barrio de San Mateo en Sonza, en la parroquia de Santa María en Poggio. Rosa aparece entre las santas de la Orden Tercera de los franciscanos. Desde pequeña mostraba gran piedad y amor hacia el  mundo religioso, incluso tenía gran respecto hacia las imágenes de la Virgen María y de Jesucristo; a las cuales veneraba continuamente en su hogar. Las fuentes que hacen referencia a la vida de Rosa, hacen especial alusión a algunos de  sus milagros (resucitar a su tía a la edad de dos años), a la lucha constante contra los herejes de su tiempo, a las visiones de algunas almas conocidas por ella, y a los encuentros que tuvo con Jesucristo, la Virgen María y algunos ángeles. Renunció a todos los placeres del mundo - alejada en un cuarto de su casa-, hacía ayunos constantemente, se infringía en el cuerpo fuertes disciplinas con unas cadenas que la dejaban muchas veces desmayada en el suelo. Asimismo, llevaba siempre y debajo de su vestido, un silicio con el que hacia un constante sacrificio hacia Dios.  Tuvo una importante vida pública: iba por la ciudad de Viterbo llevando un crucifijo en la  mano y alabando al Señor y a  la Virgen María. Pero su acción de apostolado habría durado tan sólo unos meses, pues el poder civil de la ciudad  de Viterbo, que gobernaba  en nombre Felipe II, instigado por algunos herejes que actuaban abiertamente en la ciudad, infligió a Rosa y a su familia la pena del exilio. Al ser obligados a dejar Viterbo, se refugiaron en Soriano de Cimino y regresaron tan solo después de la muerte de Felipe II. Al estar de nuevo en la ciudad pidió a los damianitas ingresar a su convento, pero no fue reciba debido al gran número de religiosas. No se sabe nada de su muerte, según la tradición su cuerpo estaría sepultado en una fosa excavada en el pavimento de la iglesia de Santa María de Poggio.";;;"Rivadeneira, t,3.p.8;Leonardi, Riccardi,Zarri."
87;Santa Teresa;1582;1614;1622;"Nacida en Ávila en 1515, Teresa de Jesús, o de Ávila, entró a los dieciocho años en el monasterio carmelita de la Encarnación de Ávila (España); hija de Antonio Cepeda y Beatriz de Ahumada.  Realizó grandes actos de penitencia, oración y sacrifico; usaba siempre silicios con los cuales flagelaba su cuerpo, además de  hojas de lata, ortigas y llaves. Se interesó fundamentalmente por los historias de los santos mártires, al punto de concertar con su hermano (cuando aún era una niña)  para salir de su casa y viajar a África para ser martirizada en nombre de Cristo ante los Moros. Pero cuando habían avanzado en su camino, su tío los encontró y en seguida los hizo regresar, no pudiendo así lograr su cometido. Fue una gran mística, distinguiéndose por sus visiones, éxtasis y elevación de su pensamiento. Logró llevar a cabo la reforma  de la orden de las carmelitas descalzas a la que pertenecía y  fundar su primer convento reformado en 1562, colocado bajo la invocación de san José en Ávila. Entre los éxtasis y las visiones que describió ella misma en sus obras, figura la Transverberación, o traspaso de su corazón. Este éxtasis tuvo lugar hacia 1559. Un ángel –como lo referencia el texto Duchet-Suchaux y Pastoreau-  de la orden de los serafines se le apareció “viole en las manos un dardo de oro largo y al fin de él me pareció tener un poco de fuego; éste me pareció meter por el corazón algunas veces (…) y me dejaba toda abrazada en el amor grande de Dios”.  Otra visión célebre es aquella en que una paloma con alas llenas de escamas de nácar comienza a planear sobre su cabeza, la víspera de Pentecostés; al igual que el  momento en el que san José  y la virgen le ofrecen algunas prendas de vestir. Muchas de estas visiones y otras que aparecen relatas en sus escritos, fueron esenciales para establecer los elementos iconográficos que identifican a santa Teresa.";;;"Rivadeneira,t.3.p. 265;G.Suchaux y M. Pastourea."
88;Alipio de Tagaste;;;;Nació en Tagaste, Norte de África y murió en el año 430.Toda su vida la vivió al lado del gran san Agustín. Este doctor de la Iglesia habla de él en su libro las “Confesiones”. Alipio estudió asiduamente sus materias humanas y religiosas bajo la tutela de su maestro, y fue lo mismo que él, un maniqueo hasta que su padre le prohibió que se asociara con Agustín y con esta herejía. Esto fue la causa por la que estuvieron separados durante algún tiempo. Alipio se marchó a Roma a estudiar Derecho. En la ciudad santa se juntó de nuevo con san Agustín. Los dos viajaron a Milán porque el maestro fue allí a impartir clases. En la ciudad milanesa, de tanto prestigio y comercio, fueron bautizados en la Vigilia de Pascua del año 387.En el 388 volvieron a África, en donde estuvieron tres años en Tagaste haciendo oración y penitencia como unos auténticos religiosos antes de que cada uno fuese ordenado de obispo en distintas diócesis. A Alipio le correspondió la más difícil, Tagaste. Era el año 393.No obstante, antes fueron a hacer un viaje de peregrinación a Tierra Santa para purificar sus pecados y hacer penitencia por los mismos. Desde entonces nunca se separaron y trabajaron juntos por la extensión del Reino de Dios en todo el Norte de África. La gran tarea apostólica que tuvieron los dos fue acabar con el paganismo, tan incrustado en la sociedad, y la doctrina arriana que penetraba como un veneno entre toda la gente sin formación auténtica en los valores del Evangelio.;;;http://www.churchforum.org.mx
89;Benito Abad;;;;"Nació en Italia, en la provincia de Nursia, en el seno de una familia noble hacia el año 480. Gran parte de sus milagros fueron conocidos gracias a los escritos que realizó Gregorio el Grande (hacia 540-604), en el libro II de los Diálogos, y recogidos en gran parte en la Leyenda dorada de Santiago de la Vorágine. Después de ser enviado a Roma a realizar sus estudios los deja abandonados a los veinte años y marcha con su nodriza a Enfida, a cincuenta kilómetros al este de Roma. Entre los milagros que se conocen se cuenta: que un día la nodriza deja caer una criba de barro cocido que se quiebra. Sin embargo, es reparada milagrosamente debido a la oración de Benito. Hacia el 500, Benito se retira a la gruta denominada más tarde  Sacro Speco, cerca del lago de Subiaco o Sublaco, donde se encuentra con el monje Román; el cual hace descender a la gruta pan que le proporcionaban  en el monasterio al que estaba vinculado, con ayuda de una cesta suspendida de una cuerda y advierte a Benito mediante el sonido de una campañilla. Según lo muestra Rivadeneira, Benito fue tentado en varias ocasiones por el demonio que se le presentaba en forma de paloma, mujer o animal con fuego en su boca. En el año 529, funda la abadía de Monte Cassino que tiene gran acogida entre los fieles, y redacta allí la  Regla fundamental de la orden de los benedictinos; en la que hacia especial énfasis en el retiro espiritual, huir del ocio, guardar silencio, continua oración, voto de pobreza, ayuno y penitencia. Entre los múltiples episodios que se citan sobre la vida Benito se destaca el que hace referencia a la rebelión de algunos de los monjes del monasterio de Vicovaro, cerca de Tivoli, contra los rigores que les imponía. Uno de ellos intenta matarle dándole un pan envenenado, pero un cuervo domesticado por el santo se lo lleva y salva la vida de su amo. Benito predijo la destrucción de la abadía de Monte Cassino, predicción que se  cumplió en tres ocasiones: en el 590, el monasterio es arrasado por los lombardos; en el 823 por los sarracenos  y finalmente en 1943 por la aviación de los Aliados. Muerto en este monte, Benito fue enterrado allí con su hermana gemela Escolástica.";;;"Rivadeneria,t,1;G.Suchaux y M. Pastourea."
90;Tomás;;;;"Tomás es mencionado por los todos los  evangelistas (Mt 10, 3; Mc 3, 18; Lc 6, 15; Jn 11, 16; 20, 24; 21, 2; Hc 1,13). Su sobrenombre es Dídimo (en griego Didymos, “gemelo” en arameo). Pero no se sabe con completa certeza de quién era gemelo Tomás; sin embargo un texto apócrifo, los Hechos de Tomás, le señala como hermano gemelo de Jesús. A menudo a Tomás se le conoce como el incrédulo.  Tal incredulidad de Tomás se manifiesta en dos ocasiones. En el primer episodio, Tomás se niega a creer en la Resurrección de Jesús. Cristo se le aparece entonces y le dice: “mira mis manos; acerca tu tumba y métela en mi costado. Y no seas incrédulo sino creyente” (Jn 20, 24-29). En el segundo, puramente de carácter legendario, el apóstol se niega a creer en la Asunción de  María. Hace que abran su tumba y la encuentra llena de flores.  La Asunta, desde lo alto del cielo, desanuda su cinturón y lo deja caer entre las manos de Tomás. Este cinturón representa aquí el papel del sudario encontrado por las Santas Mujeres en el sepulcro. Uno de los pasajes más celebres en los que es nombrado este santo, es aquel en el que acompaña a Pedro y a otros apóstoles a pescar;  pasan todo la noche sin provecho alguno y en la mañana siguiente se les aparece el Señor, quien les pide que tiren de nuevo las redes encontrando gran cantidad de peces. Según la tradición, después de recibir al espíritu santo, Tomás predicó en Jerusalén y Judea; al igual que otros territorios: Oriente (encontró a los tres Reyes Magos),  Medos, Persas, Húncavos  y la India.  Algunas leyendas informan de que Tomás habría sido martirizado en Mylapor, cerca de Madrás, después de haber evangelizado esta región. Su cuerpo habría sido trasladado a la Edesa en el 394.";;;G.Suchaux y M. Pastourea.
91;Marcos;;;;"En los Hechos de los Apóstoles (12,12) se le designan con el nombre de Juan, siendo Marcos el sobrenombre  romano. Es el autor del segundo Evangelio, el más breve de los cuatro, a petición de los romanos diez o quince años después de la Ascensión de Cristo. Pasa por haber sido discípulo preferido y el portavoz de Pedro, de quien fue especialmente su hijo espiritual. Autores como Ribadeneira atribuyen haber escrito su Evangelio a dictado de Pedro; asimismo, se plantea que es el Evangelio de Mateo de forma abreviada. Según Hierón y a Eusebio, Pedro le habría enviado a Egipto donde habría predicado el Evangelio en Cirene y Pentapoli, convirtiéndose en el primer obispo de Alejandría. A su llegada, hace que el zapatero Aniano le arregle las sandalias. Éste se hiere con su lezna, pero Marcos le cura de manera milagrosa. Marcos habría sido martirizado en el 67 en Alejandría, apoderándose de él cuando estaba celebrando la misa; siendo arrastrado por la ciudad atado a una cuerda, despedazando sus carnes por su golpes, medio aplastado a mazazos, y conducido a la cárcel; siendo nuevamente arrastrado y martirizado al día siguiente hasta morir, antes de que los verdugos tuvieran tiempo de lapidarlo. Una lluvia milagrosamente extingue la hoguera en la que se pensaba  quemar su cuerpo. Sepultado en Alejandría sus restos fueron robados en el 829 por venecianos.";;;G.Suchaux y M. Pastourea.
92;Cristóbal;;;;"Un conjunto de leyendas tomó cuerpo en Asia Menor en torno a un cierto Cristóforos, que habría sido martirizado bajo Decio. Aparte de su nombre (el que lleva a Cristo) no se sabe nada concreto sobre este mártir, salvo que fue esencialmente venerado en Calcedonia a partir del siglo V. San Cristóbal habría predicado la palabra de Cristo en la ciudad de Samos en Licia con gran  éxito, sin embargo, fue encarcelado durante la persecución de Decio por negarse a hacer sacrificios a los dioses. Le encarcelaron con dos cortesanas, a las que convierte durante su convivencia. Se ve sometido a suplicios tomados del fondo común de las leyendas hagiográficas: varas de hierro, parrilla, flechas que regresan a su punto de partida. En primer lugar, se le mando a azotar, poner sobre su cabeza un yelmo encendido y tenderle sobre un escaño de hierro, hecho a la medida de su cuerpo, y rociándole todo con aceite hirviendo; también poniendo fuego debajo para que poco a poco se asase y consumiese su cuerpo, para morir finalmente decapitado.";;;"Rivadeneira,t, 2.p, 380;G.Suchaux y M. Pastourea."
93;Roque;;;;"Nacido en Francia, en la provincia de Languedoc en la villa de Montpellier, Roque, hijo de un mercader llamado Juan, se hace ermitaño y pasa la mayor parte de su vida peregrinando. Una de las peregrinaciones le lleva a Roma, donde permanece tres años, de 1368 a 1371, cuidando a los enfermos y obrando milagros sobre ellos; sin embargo, en el camino de regreso enferma de peste. Para evitar el riesgo de extender el contagio se retira a lo más profundo del bosque, donde es alimentado por el perro de un señor que le trae todos los días un pan robado de la mesa de su amo; asimismo un ángel acude a su ayuda y  lo protege. Posteriormente regresa de nuevo a Montpellier, donde nadie lo reconoce  e incluso su tío lo denuncia como espía; lo que hace que permanezca en la cárcel  aproximadamente cinco años  enfermando de muerte.";;;G.Suchaux y M. Pastourea.
94;Francisco de Paula;1507;;1519;Francisco nació el 27 de marzo de 1416 en Paula (Cosenza-Italia) de Jaime Martolilla y Viena de Fuscaldo. Dado que ambos eran ya de edad avanzada, atribuyeron el nacimiento de su primogénito a la intercesión de San Francisco, y por ello le dieron el nombre del Santo de Asís y prometieron revestirlo del hábito votivo de los Franciscanos. A la edad de quince años Francisco fue acompañado por sus padres al Convento de San Marco Argentano (Cosenza), para cumplir el voto y prestar un año de servicio a la comunidad. Aquí Francisco manifestó su inclinación a la oración y sus dotes de piedad, acompañadas de manifestaciones sobrenaturales, las mismas que, más adelante, alimentarían su fama de gran taumaturgo. Al término de su permanencia en el convento, los religiosos querían retenerlo, pero el joven Francisco, intuyendo que para él se aproximaba el momento de hacer una opción radical de vida y advirtiendo en sí una gran inquietud por conocer las diversas formas de vida religiosa, dejó el convento y, junto con sus padres, emprendió una peregrinación. Fue a Asís, pasando por Montecasino, Roma, Loreto y visitando los eremitorios diseminados por Monte Luco. La visita a Roma lo turbó profundamente: según su primer anónimo biógrafo, Francisco reprochó el boato de un cardenal con las palabras: 'Nuestro Señor no iba de esta manera'. El episodio muestra cómo en el ánimo del joven iba madurando la idea de una reforma de la vida eclesial basada en la pobreza. La peregrinación constituyó para el joven Francisco un motivo serio de reflexión y de decisiones para su futuro. Al volver a Paula, Francisco manifestó a sus padres el deseo de conducir vida eremítica. En torno al 1435, se retiró a las afueras de Paula, en un terreno propiedad de la familia, suscitando gran estupor entre los conciudadanos por la austeridad de su modo de vivir. La experiencia de Paula lo forjó en la contemplación, en el trabajo, en la soledad y en las privaciones y mortificaciones corporales. Enseguida comenzaron a afluir a su eremitorio muchas personas deseosas de ponerse bajo su guía espiritual y de compartir su mismo género de vida austera. Con la llegada a la diócesis de Mons. Pirro Caracciolo, nombrado arzobispo de Cosenza el 31 de agosto de 1452, el movimiento obtuvo el beneplácito del ordinario diocesano y pudo dotarse de un oratorio. El flujo de peregrinos que se dirigían al eremitorio de Paula atrajo la atención de Pablo II quien, en los comienzos del 1467, envió un visitador de su confianza para indagar sobre la vida de Francisco. A su regreso a la Curia, Mons. Baldassarre De Gutrossis tranquilizó al Papa sobre la fidelidad de Francisco a la Sede Apostólica y, visto que el Eremita había iniciado la construcción de una iglesia, el 7 de julio 1467 le proporcionó una carta colectiva de cuatro cardenales con la cual concedían la indulgencia, con las condiciones acostumbradas, a quienes visitaban o contribuían a los gastos para la construcción de la iglesia de Paula. Desde el principio, Francisco tuvo fama de gran taumaturgo. Los prodigios acompañaron toda su vida, a partir de la construcción de los primeros conventos hasta su partida para Francia. Fue el suyo un poder taumatúrgico a favor de todos, pero en particular de los pobres y de los oprimidos por las difundidas malversaciones de los poderosos, contra los cuales Francisco no se cansó de levantar la voz. Los elementos usados para el milagro eran verdaderamente secundarios o insignificantes, los primeros que encontraba a la mano, como para hacer comprender que no eran éstos los que curaban o resolvían el problema, sino Dios. Llevada por los comerciantes napolitanos, la fama de Francisco llegó a Francia, a la corte de Luis XI, entonces enfermo, el cual pidió al Papa Sixto IV que hiciese llegar al Eremita paulano a su cabecera. Fue el inicio del 'capítulo diplomático' de la vida de Francisco. El Pontífice, buscando un acercamiento a Francia, con la cual deseaba un acuerdo para la abolición de la Pragmática Sanción de Bourges del 1438, acogió favorablemente la embajada francesa y lo mismo hizo el rey de Nápoles. Fueron sin embargo necesarios muchos meses para convencer a Francisco, el cual aceptó partir solamente cuando el Papa se lo impuso. Fue para el Eremita una obediencia difícil: tenía 67 años, su Congregación se había extendido desde hacía poco tiempo también en Sicilia y, sobre todo, sentía reticencia ante la idea de ir a vivir en un palacio, con una dotación regia , después de haber vivido por más de treinta años en un eremitorio. El sacrificio pedido de dejar el Reino de Nápoles sería después largamente compensado por el favor de la corte francesa hacia su Orden y por las intervenciones de la misma ante la Curia Romana. Dejando el eremitorio de Paterno el 2 de febrero de 1483, Francisco fue acogido triunfalmente en Nápoles tanto por el pueblo como por la corte, que de su partida a Francia esperaba un alejamiento de la temida invasión del Reino por parte de los Valois. El rey Fernando I pretendía una relación preferencial de su súbdito. En Roma Sixto IV lo recibió diversas veces, confiándole delicados encargos. A su llegada al castillo de Plessis-les-Tours, Luis XI se arrodilló ante él, pidiéndole la bendición. El monarca no obtuvo la curación, pero la acción del Paulano en la corte, llevó a un largo período de buenas relaciones entre el papado y la monarquía francesa, del cual se beneficiaron también los Reinos de España, Boemia y Nápoles. Finalmente, muere el 2 de abril de 1507.;;;http://www.sanfrancescodapaola.com/indexfra1.html
95;Juan de Dios;1550;;1690;"Nace en Portugal en 1495 y muere en Granada, España, en 1550 a los 55 años de edad. Su madre murió cuando él era todavía joven, mientras su padre permaneció como religioso gran parte de su vida en un convento. Trabajo como pastor y fue soldado bajo las órdenes de  Carlos V en algunas de sus batallas. La vida militar lo hizo fuerte, resistente y sufrido. Según la tradición, la  Virgen María  lo salvó de ser ahorcado por el coronel a cargo de la expedición de la cual hacia parte, pues el depósito que cuidaba fue robado por los enemigos; sin embargo, Juan se encomendó con toda su fe a la Madre de Dios y logró que le perdonaran la vida. Después de permanecer algunos años en el ejército, quiso hacer un poco de apostolado y se dedicó a vender estampas y libros religiosos. En uno de sus acostumbrados viajes y cuando iba llegando a la ciudad de Granada, vio a un niñito muy pobre y muy necesitado y se ofreció bondadosamente a ayudarlo. Aquel ""pobrecito"" era la representación de Jesús Niño, el cual le dijo: ""Granada será tu cruz"", y desapareció. En esta misma ciudad, estuvo presente en uno de los sermones del misionero San Luis de Ávila y en pleno sermón cuando el predicador hablaba contra la vida de pecado, se arrodillo y empezó a gritar: ""Misericordia Señor, que soy un pecador"", y salió gritando por las calles, pidiendo perdón a Dios. Se confesó con San Juan de Ávila y le propuso una penitencia muy especial: hacerse el loco para que la gente lo humillara y lo hiciera sufrir. Con este propósito, repartió entre los pobres todo lo que tenía en su pequeña librería, empezó a deambular por las calles de la ciudad pidiendo misericordia a Dios por todos sus pecados. Las personas lo creyeron loco y empezaron a atacarlo a pedradas y golpes. Por tal motivo, permaneció un buen tiempo en el manicomio en donde fue victima de fuertes torturas, lo que lo llevo a plantearse la posibilidad de crear un hospital; en el cual se sanaran primero las heridas del alma y luego las del cuerpo. A su regreso, alquiló una casa vieja y comienzo a recibir a todo tipo de personas: enfermos, mendigos, locos, ancianos, huérfanos y desamparados, que solicitasen su ayuda. Teniendo que pasar por múltiples dificultades (incendios, inundaciones), poco a poco su cuerpo se comenzó a debilitar hasta que murió el 8 de marzo de 1550.";;;http://www.ewtn.com/spanish/saints/Juan_de_Dios.ht
96;Juan de Sahagún;1479;1601;1690;"Nació en Sahagún de los Campos (León) hacia 1430. Sus padres fueron Juan Gonzáles de Castillo y Sancha Martines. Estudió letras y humanidades en el Real Monasterio de S. Benito de la misma villa con los benedictinos, inclinándose ya entonces al estado eclesiástico. El obispo de Burgos, Alonso de Cartagena, le ordenó de sacerdote, le tomó por familiar, y le nombró canónigo de la catedral; pero no le atraían los honores, y renunciando a ellos durante algunos años se dedicó a la cura de almas en la iglesia de San Gadea, ocupándose también en la predicación y estudio de la Sagradas Escrituras. Muerto Alonso de Cartagena, en 1456, abandonó Burgos para trasladarse a Salamanca y estudiar en su Universidad; matriculándose en Derecho Canónico, sin dejar, al mismo tiempo, la actividad pastoral que le permitían sus estudios. Fue un religioso muy virtuoso y edificante. Tuvo algunos cargos en la Orden, como el de superior del Convento de San Agustín en 1471 y 1477, y el de consejero provincial en 1473. Su espíritu pacificador le hizo célebre en Salamanca, por haber logrado la concordia de dos bandos que dividían la ciudad. Todo lo empleó para aquella causa en el confesonario, en los púlpitos, en las calles, en las casas. Pero al fin vino la concordia, que fue firmada por ambas partes el 30 septiembre 1474, y que le mereció el título de Patrón de Salamanca. Finalmente, muere el 11 de junio de 1479.";;;C. Leonardi, A, Riccardi, G, Zarri
97;Amadeo IX de Saboya;1472;1677;No;"El Beato Amadeo IX de Saboya nació en Tournon el 1 de febrero de 1435, habiendo sido el hijo primogénito de Luis II de Saboya y de Ana de Lusiñán, hija del rey de Chipre. Después del tratado de Cleppié (1453), a los diecisiete años de edad, Amadeo IX de Saboya contrajo matrimonio con Violante de Valois, también conocida con el nombre de Yolanda de Saboya, hija del rey de Francia Carlos VII y hermana del más tarde también rey de Francia Luis XI, de la cual estaba prometido desde la cuna (1436). Fue Violante una mujer afectuosa, fiel y amante de su casa y familia; ambos esposos estuvieron desde un principio muy unidos, no sólo en la comunidad de vida, sino principalmente en la rectitud de conciencia y en idénticos sentimientos. La castidad matrimonial fue fecunda, habiendo nacido del amor conyugal nueve hijos, a los que sus padres supieron legar, además de los bienes de fortuna, su religión y virtud; una de sus hijas subió a los altares con el nombre de Beata Luisa de Saboya, la cual, muerto su marido, se encerró en un convento de clarisas, siendo autorizado su culto por el papa Gregorio XVI. En el año 1465 el Beato Amadeo IX de Saboya sucedió a su padre en el trono; siendo una norma constante en su vida de gobierno el anteponer el servicio de Dios a todas las restantes cosas. Durante toda la vida se vio el Beato Amadeo de Saboya atormentado por frecuentes ataques de epilepsia; esta enfermedad le sirvió para ejercitarse en la paciencia cristiana, aceptando con alegría la voluntad del cielo. Murió en Verceli en el año 1472 en el día 31 de marzo, fecha en que la Iglesia celebra su fiesta. La noticia de su muerte puso fin a las procesiones públicas rogativas, llevando el luto a todos los lugares de la Saboya y el Piamonte. Fue sepultado en la románica iglesia de San Eusebio de Verceli, debajo de las gradas del altar mayor, confirmando el cielo con numerosos milagros la fama de santidad que ya en vida gozaba Amadeo IX de Saboya.";;;http://www.mercaba.org/SANTORAL/Vida/03/03-31_B
98;Basilio Magno o Grande;379;;;"Nacido hacia el año 300 en Cesárea de Capadocia en una familia noble que contaba en su seno con varios santos, Basilio recibe una sólida educación cristiana; estudia sucesivamente en Cesárea, Constantinopla y Atenas, donde permanece por cinco años. Después se hace monje, pasa algún tiempo en Siria y Egipto, y se establece finalmente como ermitaño cerca de Cesárea de Palestina en compañía de Gregorio Nacianceno. Abandona su soledad en el 346 a petición del obispo Eusebio de Cesárea, para convertirse posteriormente en obispo en el 370. Esta circunstancia sitúa bajo potestad a cincuenta obispos sufragáneos. Se dedica entonces a  combatir la herejía arriana, que sostenía el emperador Valente. Defensor obstinado de la ortodoxia, Basilio no teme oponerse al poder político y en ocasiones también al pontificio que criticaba algunas de sus posiciones teológicas. Basilio fue el legislador principal del movimiento monástico en la Iglesia oriental.";;;G.Suchaux y M. Pastourea.
99;Bernardo de Claraval;;;;Habiendo entrado a los veintidós años en la abadía de Citeaux, Bernardo parte tres años más tarde, junto con algunos monjes, a fundar el monasterio de Claraval, que dirige hasta su muerte. Prelado, reformador, teólogo, autor de numerosas obras, abad enemigo del lujo y de las imágenes, arbitro de los principales conflictos doctrinales y seculares de su tiempo, firme sostén del papado, Bernardo es la principal figura religiosa y eclesiástica  del siglo XII. Su autoridad es incontestable en toda la Cristiandad. Contribuyendo al desarrollo del culto a la Virgen, a la que convierte en objeto de una devoción muy fuerte y personal, y, a semejanza de la orden cisterciense, todas sus iglesias son colocadas bajo la advocación de Nuestra Señora. En 1146, predica en la montaña de Vézelay la segunda cruzada, en la que no toma parte a causa de su frágil salud.;;;G.Suchaux y M. Pastourea.
100;Bruno;1101;;;"Nacido hacia 1030, canónigo de San Cuniberto en Colonia, es catedrático en Reims en 1057. Opta por la vida de ermitaño bajo la dirección de Roberto de Molesmes.  Estudió en la Universidad de París en donde estudio filosofía y la sagrada teología. El obispo de Grenoble, Hugo, le dona a Bruno y a seis compañeros de éste, la zona montañosa de la Cartuja donde construye un oratorio rodeado de celdas: nace entonces la orden de la Cartuja en 1084. Este lugar era completamente desértico: áspero, frío e inhabitable. Bruno, llamado a Roma en 1090, desempeña un papel en la Reforma de Urbano II, quien le solita su ayuda y consejos como hombre de letras. Sus compañeros se quedan en Cartujo a cargo de un clérigo llamado Signinio, pero al poco tiempo deciden seguirlo hacia Roma; de donde son devueltos nuevamente a sus claustros por orden del papa. Finalmente, habiendo vivido en una extrema perfección y admiración de toda aquella provincia, cayó gravemente enfermo. Muere en 1101 en la cartuja de la Torre, que había fundado en Calabria. Bruno no ha sido nunca canonizado, pero la Santa Sede autorizó su culto a los cartujos en 1514, y lo extendió a la Iglesia universal en 1674.";;;"G.Suchaux y M. Pastourea; Rivadeneria t,3 p.181."
101;Buenaventura;1274;;;"Nació alrededor del año 1218 en Bagnoregio, en la región toscana; estudió filosofía y teología en París y, habiendo obtenido el grado de maestro, enseñó estas mismas asignaturas a sus compañeros de la Orden franciscana. Uno de sus más cercanos compañeros  y amigos fue santo Tomás de Aquino, con quien compartió su gran pasión y amor hacia Dios. En 1257, Buenaventura fue elegido superior general de los Frailes Menores. No había cumplido aún los treinta y seis años y la orden estaba desgarrada por la división entre los que predicaban una severidad inflexible y los que pedían que se mitigase la regla original; naturalmente, entre esos dos extremos, se situaban todas las otras interpretaciones. Los más rigoristas, a los que se conocía con el nombre de ""los espirituales"", habían caído en el error y en la desobediencia, con lo cual habían dado armas a los enemigos de la orden en la Universidad de París. El joven superior general escribió una carta a todos los provinciales para exigirles la perfecta observancia de la regla y la reforma de los relajados, pero sin caer en los excesos de los espirituales.  En 1265,  a la muerte de Godofredo de Ludham, el Papa Clemente IV trató de nombrar a San Buenaventura arzobispo de York, pero el santo consiguió disuadirle de ello. Sin embargo, al año siguiente, el Beato Gregorio X le nombró cardenal obispo de Albano, le ordenó aceptar el cargo por obediencia y le llamó inmediatamente a Roma.  Murió en Lyon el año 1274. Escribió muchas obras filosóficas y teológicas. Conocido como el ""Doctor Seráfico"" por sus escritos encendidos de fe y amor a Jesucristo.";;;"http://www.corazones.org; Rivadeneria t,2, p, 316"
