author;activity;bio
Theodore Moise;;"MOÏSE, Teodoro: SYDNEY (1808-1883), fue un pintor estadounidense nacido en Charleston, Carolina del Sur, recibió instrucción en la pintura de su tía, Penina Moïse, un artista a tiempo parcial. Nada se sabe acerca de su educación superior. En 1835, Moïse abrió un estudio en Charleston, la publicidad de sus servicios como retratista, pintor de animales, restaurador de la imagen, y dibujante ornamental. Moïse trasladó a Nueva Orleáns en 1842 hasta 1843, donde se ganó una reputación como un retratista consumado y mantuvo un estudio desde 1850 hasta su muerte. Los miembros de su estudio incluyen Benjamin Franklin Reinhart, Paul Poincy, y el retrato y el género pintor Trevor Thomas Fowler. Durante y después de 1842, viajó con Moïse Fowler en la pre-guerra civil y luego la Reconstrucción del Sur. Fowler veces colaboró ??con Moïse en la ejecución de retratos de los miembros de los sureños ricos. Así de cerca qué Moïse y Fowler trabajo que los historiadores del arte les resulta imposible en algunos casos para diferenciar el trabajo de Moïse de la de Fowler. Temas de Moïse menudo incluyen ricos terratenientes, sus familias, funcionarios, caballos y perros. Las últimas imágenes podrían haber sido encargado por la fuerza de la reputación de Moïse como retratista y como maestro de hacer retratos expresivos de caballos. Retratos de Moïse demuestran un estilo neoclásico que comparte características de la obra de los artistas franceses del siglo 18o Jean-Auguste-Dominique Ingres y Jacques-Louis David, así como el pintor del siglo 19 América del Rembrandt Peale. John Freeland encargó al artista a pintar un retrato del senador y orador Henry Clay el año de la llegada de Moïse en Nueva Orleans. La pintura de Moïse del general Jackson a caballo (1815, City Hall, Nueva Orleans) se llevó un premio de $ 1,000 por su semejanza exacta de la general. Cuando el retrato se limpió en 1844, la firma ""Amans y Moïse"" fue revelado; historiadores especulan que Moïse pintó el caballo, mientras Amans representado general Jackson. Otros retratos de Moïse incluyen Mardoqueo Cohen y el gobernador Herbert (Biblioteca Estatal de Nueva Orleans). El Palacio de Justicia de Nueva Orleans contiene muchos retratos de los jueces por Moïse, así como la vida en la Metairie, que completó en colaboración con Víctor Pierson. Representando retratos de 44 distinguidos ciudadanos de Nueva Orleans en la última reunión de la antigua pista de carreras de Metairie, esta pintura ganó Estado-Feria primer Gran Premio en 1868 a la mejor pintura histórica. El New Orleans Court House también alberga una pintura masiva por Moïse que representa retratos de 64 miembros del Cuerpo de Bomberos Voluntarios que marchan en la calle Canal de la ciudad. Moïse alcanzó el grado de comandante en el ejército confederado. Participó en la defensa del Mississippi inferior durante la Guerra Civil, ayudando a desplegar balsas flotantes de fuego para repeler la flota Federal. Obras de Moïse son propiedad de coleccionistas privados, así como por la Sociedad Histórica Filson en Louisville, Kentucky, el Museo del Estado de Luisiana, el Museo Metropolitano de Arte, el Museo Ogden de Arte Sureño y el SJ Schwartz Colección histórica en Maison Blanche, Louisiana, entre otros museos y edificios públicos.

http://www.jewishvirtuallibrary.org/jsource/judaica/ejud_0002_0014_0_14081.html"
Thomas Badger;;"Thomas Badger (1792-1868) fue un artista en Boston, Massachusetts, en el siglo 19. Se especializó en retratos. Se formó con John Ritto Penniman. Los sujetos retratados fueron: John Abad; William Allen, de Bowdoin College; Asa Clapp; Julia Margarita Dearborn; George B. Doane; Henry Wadsworth Longfellow; Benjamin PAGE; Paul Thomas, de Boston africana Meeting House; Jotam Sewall; Benjamin Vaughan; Charles Vaughan; Frances occidental Apthorp Vaughan; George Wadsworth Wells; Jonathan Winship. Alrededor de 1849 una naturaleza muerta de Tejón en la colección del Museo de Boston se consideró ""una imagen muy acabado y excelente, algo en el estilo de Van Huysom. Hay una verdad y realidad en los artículos representados, pocas veces visto en esta clase de imágenes "".

Se casó con Rebecca Melendy (1795-1852); niños incluidos George Washington (murió a los 16 años en 1853). También se le relaciona con el retratista José Tejón. Él murió de ""fiebre de pulmón"" en Cambridge en 1868. Obras de Tejón se encuentran en las colecciones del Boston Athenaeum; Maine Historical Society; Colby College; y Museos de Bellas Artes de San Francisco"
Thomas Birch;;"Thomas Birch fue miembro de la Escuela del Río Hudson, un término vagamente aplicado a un grupo de artistas del siglo XIX que buscaba establecer una tradición de la pintura paisaje americano independiente de la de Europa, y cuyos temas favorecida incluida la región del río Hudson, así como Catskill, Adirondack, el blanco, y montañas verdes, y la costa de Nueva Inglaterra.

 http://en.wikipedia.org/wiki/Thomas_Badger"
Thomas Cole;;"Thomas Cole, pintor de paisajes más importantes de Estados Unidos durante la primera mitad del siglo XIX, nació el 01 de febrero 1801 en Bolton-le-Moor, Inglaterra. Antes de emigrar con su familia a los Estados Unidos en 1818, se desempeñó como asistente de un grabador y como aprendiz de un diseñador de las impresiones de percal. Cole trabajó brevemente como grabador en Filadelfia antes de unirse a su familia en Steubenville, Ohio, en 1819. Mientras que en Ohio, al parecer, aprendió los rudimentos de la pintura al óleo de un pintor de retratos errante llamado Stein. En 1823, durante una estancia en Pittsburgh, Cole comenzó a dibujar del natural, la creación de imágenes estrechamente observados e intensamente expresivas de árboles y ramas. Más tarde ese mismo año regresó a Filadelfia, donde estudió en la Academia de Pensilvania de Bellas Artes y trabajó en una variedad de puestos de trabajo relacionados con el arte. En abril 1825 Cole se trasladó a Nueva York, donde su familia se había trasladado también. Ese verano hizo una extensa gira dibujando encima del río Hudson y en las montañas de Catskill. A finales de octubre 1825 tres de sus paisajes fueron vendidos a tres figuras prominentes en la comunidad artística de la joven nación, John Trumbull (1756-1843), William Dunlap (1766 a 1839), y Asher B. Durand (1796-1886). En enero 1826 Cole fue elegido miembro fundador de la Academia Nacional de Diseño, y sus obras eran cada vez más en la demanda con los clientes líderes como Daniel Wadsworth (1771-1848) de Hartford y Robert Gilmor, Jr. (1774-1848) de Baltimore . Aunque Cole tenía amplias comisiones a finales de 1820 a pintar cuadros de paisajes de América, su ambición era crear un ""alto estilo de paisaje"" que podría expresar significados morales o religiosas. Sus primeros grandes esfuerzos en este sentido se reunió con críticas mixtas, y decidió estudiar y viajar en Europa eran necesarias. En junio 1829 Cole embarcó para Inglaterra, donde estudió las obras de viejos maestros y también se reunió con Joseph Mallord William Turner (1775-1851) y John Constable (1776-1837). Posteriormente viajó en Francia y en Italia, con largas estancias en Roma y Florencia. Mientras que en Italia se concibe una serie paisaje de varias partes trazando el ascenso y caída de una civilización arquetípico. A pesar de que no logró interesar Gilmor en la puesta en marcha de la serie, a su regreso a América en 1832 Cole logró convencer al jubilado de Nueva York Luman comerciante Reed (1785-1836) para apoyar a su gran proyecto. El resultado, los cinco canvasCourse del Imperio (New-York Historical Society), se completó en 1836 y recibió una considerable atención popular y críticas generalmente favorables. Cole siguió pintando paisajes estadounidenses en la década de 1830 y principios de 1840, pero gran parte de su energía en estos años entró en la creación de obras imaginarias complejos como salida y regreso (1837, Corcoran Gallery of Art, Washington, DC) y las dos versiones de El viaje de la vida (1839-1840, Munson-Williams-Proctor Institute, Utica, y 1842, National Gallery of Art, Washington, DC). En 1836 se casó con Maria Barstow y se estableció en Catskill, Nueva York, un pequeño pueblo en el lado oeste del río Hudson y cerca de las montañas Catskill. Ese mismo año Cole, que fue durante toda su carrera un prolífico escritor de prosa y poesía, publicó su ""Ensayo sobre el paisaje americano"" en la Revista Americana mensual, en la que expresó muchas de sus convicciones más sentidas sobre la pintura de paisaje. En 1841 Cole hacer un segundo viaje al extranjero, con numerosos viajes en Italia, incluyendo una memorable visita a Sicilia que resultó en varias vistas del Monte Etna. Regresó a Catskill en 1842; en 1844 aceptó el joven Edwin Church Frederic como alumno en la recomendación de Daniel Wadsworth. A mediados de la década de 1840 y finales de Cole pintó muchos paisajes americanos impresionantes, que son notables por una mayor exactitud en la representación de la atmósfera y la luz. Al mismo tiempo trabajó, en última instancia, sin éxito, para completar una serie de cinco capítulos llamada La Cruz y el mundo."
Thomas Coram;;
Thomas Day;;
Thomas Doughty;;Thomas Doughty, uno de los pioneros de la pintura de paisaje americano, adoptó las convenciones de la tradición paisajística europea, pintores como Nicolas Poussin y Claudio de Lorena. Usando viajes bosquejar para reunir material para sus cuadros, Doughty adaptado las convenciones europeas para representar la belleza vital del paisaje americano.
Thomas Edwards;;Twm o'r Nant era el seudónimo del dramaturgo y poeta galés Thomas Edwards (enero 1739 - 03 de abril 1810). Nació en Llannefydd, Denbighshire (pero ahora en Conwy), País de Gales. Era famoso por su anterliwtau (interludios), realizado principalmente en torno a su Denbighshire natal.
Thomas Gainsborought;;"Thomas Gainsborough (Sudbury, bautizado el 14 de mayo de 1727 - Londres, 2 de agosto de 1788) fue un pintor de paisajes y retratista inglés. considerado como uno de los grandes maestros del retrato y del paisaje. Fue el hijo menor de John Gainsborough, un tejedor en Suffolk, y, en 1740, dejó su hogar para estudiar arte en Londres con Hubert Gravelot, Francis Hayman y William Hogarth. En 1746, se casó con Margaret Burr, y la pareja tuvo dos hijas. Se trasladó a Bath en 1759 donde tuvo la protección de la sociedad a la moda, y comenzó a exponer en Londres. En 1769, se convirtió en miembro fundador de la Royal Academy, pero su relación con la organización fue esPinesa y a veces retiró su trabajo de la exposición. Gainsborough se mudó a Londres en 1774, y pintó retratos del Rey y de la Reina, pero el Rey se vio obligado a nombrar como pintor real al rival de Gainsborough, Joshua Reynolds. En sus últimos daños, Gainsborough pintó paisajes relativamente sencillos y se le atribuye (con Richard Wilson) como el creador de la escuela paisajista británica del siglo XVIII. Gainsborough murió de cáncer en el año 1788 y está enterrado en la iglesia de St. Anne, Kew, Surrey. Pintó con rapidez y sus últimas pinturas se caracterizan por una paleta ligera y pinceladas fáciles. Prefería el paisaje al retrato. Cecil Kellaway retrató a Gainsborough en la película del año 1945 Kitty.

http://es.wikipedia.org/wiki/Thomas_Gainsborough"
Thomas Hudson;;"Thomas Hudson (1701 – 26 January 1779) was an English portrait painter.

Hudson was born in Devon in 1701. His exact birthplace is unknown. He studied under Jonathan Richardson in London and against his wishes, married Richardson's daughter at some point before 1725.

Hudson was most prolific between 1740 and 1760 and, from 1745 until 1755 was the most successful London portraitist.

He had many assistants, and employed the specialist drapery painter Joseph van Aken. Joshua Reynolds, Joseph Wright and the drapery painter Peter Toms  were his students.

Hudson visited the Low Countries in 1748 and Italy in 1752. In 1753 he bought a house at Cross Deep, Twickenham, just upstream from Pope’s Villa. He retired toward the end of the 1750s, dying at Twickenham in 1779. His extensive private art collection was sold off in three separate sales.

Many of Hudson's works may be seen art galleries throughout the United Kingdom. They include the National Portrait Gallery, the National Maritime Museum, Tate, Foundling Museum and the Bristol City Museum and Art Gallery.

http://en.wikipedia.org/wiki/Thomas_Hudson_(painter)"
Thomas McIlworth;;"Thomas McIlworth (c. 1720 - c. 1769?) was a colonial American portraitist, active mainly in the area around Schenectady, New York.

McIlworth was born in Scotland around 1720; his father was the painter Andrew McIlwraith, and his mother Anne was the daughter of portraitist William Mosman. Just when he emigrated is unknown; he is known to have been in New York City by 1757, and advertising his work (as ""Andrew McElworth"") in local papers by 1758. Five years after moving to New York, he left in search of more commissions, settling in Schenectady and painting a number of prominent locals, as well as residents of Albany. He married Anna Statia (or Anastasia) Willet of New Jersey in October, 1760; the pair are believed to have lived in Westchester County for some while, and had a number of children before her death in 1766.

McIlworth is said to have been appointed the first Schenectady town clerk in 1765, and is thought to have left the city two years later. He is last recorded in Montreal in 1767, and is believed to have died around 1769, still in Canada.

McIlworth's influence has been discerned in the work of another colonial New York painter, John Mare, but the nature of their relationship is unknown.

http://en.wikipedia.org/wiki/Thomas_McIlworth"
Thomas Seir Cummings;;"Thomas Seir Cummings (1804–94) was an American miniature painter and author, born at Bath, England. He came to New York early in life and studied there with Henry Inman. He painted miniatures in water color, and many of his sitters were well-known contemporaries of the artist. In 1826 he helped to found the National Academy of Design, was its treasurer for many years and one of its early vice presidents. He also wrote an account of its history, entitled Historic Annals of the National Academy from its Foundation to 1865 (Philadelphia, 1865). His later life was spent in Connecticut, and Hackensack, N. J., where he died.

http://en.wikipedia.org"
Thomas Smith;;"Captain Thomas Smith was an American artist and mariner who lived somewhere between 1600 and 1700 and completed a self-portrait circa 1680, which is the earliest known self-portrait from America.

http://en.wikipedia.org/"
Thomas Stothard;;"1755-1834

Thomas Stothard (17 August 1755 – 27 April 1834) was an English painter, illustrator and engraver. Stothard was born in London, the son of a well-to-do innkeeper in Long Acre, London. A delicate child, he was sent at the age of five to a relative in Yorkshire, and attended school at Acomb, and afterwards at Tadcaster and at Ilford, Essex. Showing talent for drawing, he was apprenticed to a draughtsman of patterns for brocaded silks in Spitalfields. In his spare time, he attempted illustrations for the works of his favourite poets. Some of these drawings were praised by Harrison, the editor of the Novelist's Magazine. Stothard's master having died, he resolved to devote himself to art.

In 1778 he became a student of the Royal Academy, of which he was elected associate in 1792 and full academician in 1794. In 1812 he was appointed librarian to the Academy after serving as assistant for two years. Among his earliest book illustrations are plates engraved for Ossian and for Bell's Poets. In 1780, he became a regular contributor to the Novelist's Magazine, for which he produced 148 designs, including his eleven illustrations to Peregrine Pickle and his graceful subjects from Clarissa and Sir Charles Grandison.

From 1786, Thomas Fielding, a friend of Stothard's and engraver, produced engravings using designs by Stothard, Angelika Kauffmann, and of his own. Arcadian scenes were especially esteemed. Fielding realized these in colour, using copper engraving, and achieved excellent quality. Stothard's designs had an exceptional aesthetic appeal.

http://en.wikipedia.org/"
Thomas Sully;;"1783-1872Thomas Sully was born in 1783 in Horncastle, Lincolnshire, England, the youngest son of nine children born to the actors Matthew and Sarah Chester Sully. At the suggestion of his father's brother-in-law, a theater manager in Virginia and South Carolina, the Sullys emigrated to the United States in 1792. Sully attended school in New York until his mother's death in 1794, when he returned to live with his family in Richmond. From there they moved to Charleston, South Carolina, where the future artist performed on the stage with his parents and siblings. Following the example of his older brother, the miniature painter Lawrence, Sully resolved to become an artist. He first received art lessons from his young schoolmate Charles Fraser. After an unsuccessful attempt to learn the business of insurance broking, Sully was apprenticed to his brother-in-law, a French emigrée miniaturist named Jean Belzons. After a violent quarrel with his teacher in 1799 Sully left Charleston and joined his brother Lawrence in Richmond. Inspired by the sight of portraits by Henry Benbridge, he continued to study art and opened up his first studio at Richmond in 1804. When Lawrence died in September 1804 Sully assumed responsibility for the family and eventually married his brother's widow Sarah. In 1806 Sully accepted a commission to paint at a theater in New York, where he met William Dunlap, John Wesley Jarvis, and John Trumbull. He invested one hundred dollars to have Trumbull paint a portrait of his wife so that he might learn something of the senior artist's technique. In 1807 he travelled to Boston and spent about three weeks studying with Gilbert Stuart, who encouraged his efforts to become a portraitist. Later that year Sully moved to Philadelphia, where he remained for the rest of his life. His portrait practice flourished, and in May 1809 he entered into an agreement with a group of prominent citizens that enabled him to embark a year-long trip to study art in London. Sharing a room there with Charles Bird King, he studied under Benjamin West and Henry Fuseli, met the circle of British artists who were active at the Royal Academy of Art, and familiarized himself with collections of old master paintings. When Sully returned to Philadelphia in 1810 he quickly set about establishing his future reputation as one of America's foremost portraitists by painting a number of full-length commissions, beginning in 1811 with George Frederick Cooke in the Role of Richard III. In 1812, one year after the Pennsylvania Academy of the Fine Arts acquired the painting, Sully was elected to an honorary membership in the organization, in which he played an active role until resigning from its board of directors in 1831. From 1819 to at least 1846 he and his partner, the restorer and frame maker James S. Earle, ran a successful commercial art gallery. Sully's artistic activity was not confined to Philadelphia, and throughout his long career he made numerous protracted trips to Washington, Baltimore, Boston, New York, and West Point. At the height of his fame in 1837 a Philadelphia association of British expatriates called the Society of the Sons of St. George sent him to England to paint a full-length portrait of the recently crowned Queen Victoria. Sully's professional stature was such that he attracted many pupils, most notable among them Charles Robert Leslie, John Neagle, and Jacob Eichholtz; he also trained several of his children to become competent artists. In 1851 he prepared a short practical guide for portraitists entitled Hints to Young Painters and the Process of Portrait Painting, which was revised in 1871 and published two years later. Sully was America's foremost exponent of the highly romanticized, painterly, and fluid style of portraiture practiced by the two contemporary British artists he had most admired during his year of study in England, Sir Henry Raeburn and Sir Thomas Lawrence. Although he painted many of the most prominent polit"
Thomas Wale;;
Thomas Young;;
Tomás Cabrera;;
Tomás Calderón;;
Tomás de Cócar;;"“Entre los artesanos que estuvieron activos durante el siglo XVII encontramos a Tomás de Cocar primer pintor del cual se tienen referencias precisas, llega a Coro en 1602 y realiza un cuadro de Santa Ana”.

REFERENCIA EN http://artecolonialvenezuela.blogspot.com/2009/05/la-pintura-colonial-en-venezuela-3.html"
Tomás de Merlo;;"Tomás de Merlo (Guatemala, 1694 - 1739) es un pintor guatemalteco que produce su obra en los albores del barroco antigüeño. Algunos de sus cuadros se exponen actualmente en el Museo Nacional de Arte Colonial, en la Antigua Guatemala, aunque hay cuadros de su autoría en algunas iglesias, tal es el caso de la pintura de la ""Virgen del Pilar con las monjas fundadoras"" que se localiza en la Iglesia de San Miguel de Capuchinas, en la Nueva Guatemala de la Asunción, en el cual se hace referencia a las seis monjas que fundaron el convento de las madres capuchinas, en la ciudad de Santiago de los Caballeros de Guatemala.

Las obras de Merlo en el Museo de Arte Colonial corresponden a la serie de la Pasión de Cristo (integrada originalmente por 11 pinturas), con cuadros de gran formato que fueron creados para ornar los muros de la Iglesia del Calvario, en sustitución de las pintura de Antonio Montufar, que se destruyeron en los ""Terremotos de San Miguel"" en 1717. Otra de sus obras es la ""Apoteosis de San Ignacio de Loyola"", en la que se le muestra ante un rompimiento de gloria, en una composición de dos registros, en la que, en el inferior se le muestra instruyendo a personajes alegóricos masculinos que representan a América, Ásia, África y Europa. También se puede apreciar en dicho museo una pintura de ""San Salvador de Horta"" en la que a diferencia de la mayoría de sus obras, no prevalecen los colores intensos que caracterizan a su paleta, de ricos tonos primarios como el rojo, blanco y azul, con una abundante gama de ocres.

Fue hijo del también pintor Thomás de la Vega Merlo y hermano de Pedro Francisco, quien practicó la misma profesión. El Museo de arte colonial se localiza en la 5a. Calle Oriente No. 5, Antigua Guatemala.

Febrero 5,2014 El día de hoy fueron robadas seis pinturas pintadas al óleo sobre lienzo de lino en el siglo XVIII en La Antigua, por el insigne pintor colonial guatemalteco Tomás de Merlo. Es urgentísimo difundir sus fotografías en las redes sociales, medios de comunicación y a todo nivel para evitar que salgan de Guatemala y recuperarlas. Las pinturas pertenecen a la serie de La Pasión que consta de once cuadros magistrales que milagrosamente han llegado hasta nuestra época: cinco están en el Museo de Arte Colonial de La Antigua y las seis restantes fueron robadas hoy miércoles 5 de febrero de 2014 por la tarde de la Iglesia de El Calvario en La Antigua Guatemala. Las seis pinturas robadas de las cuales se adjuntan fotos, se titulan: 1. La Oración en el Huerto (de mediano formato) 2. La Curación de Malco (de gran formato) 3. Cristo ante Caifás (de gran formato, con posible autorretrato del autor) 4. La Flagelación (de mediano formato) 5. El Rey de Burlas (de mediano formato) 6. La Piedad (de mediano formato) Este robo constituye un gravísimo daño al Patrimonio Cultural de Guatemala. Se ruega a las autoridades, medios de comunicación y buenos guatemaltecos, colaborar en difundir las obras robadas, para evitar que sean sacadas de Guatemala y vendidas en el extranjero enteras o en fragmentos.

http://es.wikipedia.org"
Tomas de Sosa;;"""Tomas de Sosa nació en el año de 1655 c.a. Mulato novohispano libre, maetsro de pintor, posiblemente fue aprendiz de Juan Correa. Uno de los pocos mulatos dentro de este gremio, como su maestro. Hasta el momento solo se han localizado tres lienzos firmados por el. Se presume que llego a vivir hasta los 71 años, en el año de 1712 c.a.. FUENTE: SÁNCHEZ REYES, GABRIELA (2008). Los mulatos en el gremio de pintores novohispanos: el caso de Tomás de Sosa, ca. 1655-ca. 1712. Boletín de Monumentos Históricos, Tercera Época, NÚM. 13, MAYO-AGOSTO 2008. Disponible en: http://www.boletin-cnmh.inah.gob.México/boletin/boletines/3EV13P4.pdf"""
Tomás Javier de Peralta;;
Tomás Julián;;
Tomás Lara;;
Urbina;;
Valentine Green;;"Valentine Green (October 3, 1739 – July 29, 1813) was a British engraver and print publisher.Green trained under Robert Hancock, a Worcester engraver, after which he moved to London and began working as a mezzotint engraver. He began to exhibit with the Incorporated Society of Artists from 1766, became a fellow a year later and a director in 1771. He was appointed mezzotint engraver to the king in 1773, and the following year was elected an associate engraver with the Royal Academy. Throughout the 1770s and 1780s, Green's engraving practice flourished. In the 1790s, however, several of his international speculations failed and in 1798 he was declared bankrupt. In 1805 he accepted the role of keeper of the British Institution, a post he held until his death.

http://en.wikipedia.org/"
Ventura Torijano;;
Veríssimo de Freitas ;;"Foi um pintor brasileiro do período colonial, ativo entre a segunda metade do século XVIII e o primeiro quinqüênio do século XIX. Discípulo e assistente do pintor português Joaquim José da Rocha, executou obras de temática sacra para as várias igrejas da Bahia. Dentre suas pinturas, destacam-se as das igrejas do Convento de Nossa Senhora da Conceição da Lapa (1759), de Nossa Senhora da Palma (c. 1785), do Recolhimento dos Perdões (c. 1819) e do Mosteiro de São Bento, todas em Salvador, além de pinturas na Igreja do Convento de Santo Antônio, em São Francisco do Conde.

http://pt.wikipedia.org/"
Vicente Albán;;"Vicente Albán nació en Quito, Ecuador hacia el año 1725. En un trabajo encargado por José Celestino Mutis (España, 1732 ~ 1808), uno de los iniciadores del conocimiento científico en América y apasionado por dar a conocer la botánica de la región, realiza en 1783 una serie de seis cuadros para enviar a la Corona. Formaron parte parte de las colecciones del Museo de Ciencias Naturales de Madrid, luego integraron la Sección Etnográfica del Museo Arqueológico Nacional hasta 1941 cuando ingresaron en el Museo de América de Madrid, lugar donde se encuentran actualmente. 

En las pinturas representa nativos y blancos en primer plano, rodeados de árboles y frutos, con referencia numerada para dar a conocer los productos del suelo de Quito.

Las obras realizadas con la técnica de óleo sobre lienzo, miden 109 cm de ancho por 80 cm de alto.

En las imágenes de abajo hemos destacado las referencias y descripciones del autor, al ampliarlas encontrarás una reproducción de la obra original.

http://pueblosoriginarios.com/recursos/colecciones/alban/alban.html"
Vicente Carducho;;Vicente Carducho (b. 1576, Florence, d. 1638, Madrid), pintor y escritor de arte español. Él era un florentino de nacimiento (su nombre era originalmente Vincenzo Carducci), pero se radicó en España cuando tenía 9 años, cuando su hermano mayor, Bartolomé Carducho (originalmente Bartolommeo Carducci, c.1560-1608), fue a El Escorial en 1585 como asistente de Federico Zuccaro. Vicente fue nombrado pintor de la corte en Madrid en 1609, y tuvo una carrera exitosa y prolífica, pero es ahora recordado principalmente por su libro Diálogos de la Pintura (1633). FUENTE: http://www.wga.hu/frames-e.html?/bio/c/carducho/vicente/biograph.html.
Vicente Escobar y Flores;;1762-1834Hijo de Antonio Escobar y de Justa María de Flores, según consta en el acta Nº 446, folio 117 del libro 16 de Bautismo de Pardos y Morenos. Pertenecía a una familia de Oficiales del Regimiento de Pardos y Morenos. Según se dice aprendió a pintar sin maestros, teniendo por modelos las imágenes de santos heredadas de su bisabuela materna. Alumno de la Real Academia de San Fernando de Madrid en 1784, se acoge a la Real Cédula de Gracias al Sacar, en la cual se dispensa de la calidad de pardos y mulatos a los que cumplieran determinados requisitos contenidos en la Real Orden. Contrajo matrimonio cerca de 1798 con doña Josefa de Estrada y Pimienta, blanca, natural de Bejucal.En 1827 es nombrado por Fernando VII, Pintor de Cámara. Su labor es muy copiosa. Es sin lugar a dudas el más solicitado retratista de la época, el más personal de todos. Sus retratos son inconfundibles, tienen una expresión especialísima, su pintura tiene una ingenuidad y sinceridad que dan a su obra una frescura y una vitalidad extraordinariamente realista. Muchos de los retratos pintados por Escobar, en particular los de los Gobernadores, fueron llevados a España cuando cesó su soberanía en la Isla. Cirilo Villaverde dio inmortalidad a Escobar al recoger su nombre en su obra Cecilia Valdés. Reconocido en su época, muere víctima de una epidemia de cólera sin dejar descendencia. Su defunción se inscribe en el Acta 219, folio 32 del libro 18 de Defunciones de Españoles, en la Parroquia del Espíritu Santo.
Vicente López;;
Vicente Pérez ;;
Vicente Rodríguez;;
Walter Robertson;;
Washington Allston;;"Washington Allston (November 5, 1779 – July 9, 1843) was an American painter and poet, born in Waccamaw Parish, South Carolina. Allston pioneered America's Romantic movement of landscape painting. He was well known during his lifetime for his experiments with dramatic subject matter and his bold use of light and atmospheric color.

Allston was sometimes called the ""American Titian"" because his style resembled the great Venetian Renaissance artists in their display of dramatic color contrasts. His work greatly influenced the development of U.S. landscape painting. Also, the themes of many of his paintings were drawn from literature, especially Biblical stories.

His artistic genius was much admired by Samuel Taylor Coleridge, and Ralph Waldo Emerson was strongly influenced by his paintings and poems, but so were both Margaret Fuller and Sophia Peabody, wife of Nathaniel Hawthorne. The influential critic and editor Rufus Wilmot Griswold dedicated his famous anthology The Poets and Poetry of America to Allston in 1842. Poet Henry Wadsworth Longfellow, 17 years after Allston's death, wrote that: ""One man may sweeten a whole time. I never pass through Cambridge Port without thinking of Allston. His memory is the quince in the drawer and perfumes the atmosphere.""

Boston painter William Morris Hunt was an admirer of Allston's work, and in 1866 founded the Allston Club in Boston, and in his arts classes passed on to his students his knowledge of Allston's techniques.

Washington Allston coined the term ""objective correlative,"" which T. S. Eliot described as a situation or a chain of events that acts as a formula and is used in art to evoke emotion.

The west Boston, Massachusetts neighborhood of Allston is named after him.

http://en.wikipedia.org/"
William Birch;;"William Russell Birch (April 9, 1755 - August 7, 1834) was a miniature painter, enameller, and landscape engraver and designer.

Birch was born in Warwickshire, the son of Anne, née Russell, and physician Thomas Birch. He spent his early childhood in Warwick and was apprenticed to a jeweller, Thomas Jeffreys, and to Sir Joshua Reynolds. He exhibited enamel portraits at the Royal Academy from 1781 to 1794. In 1785, he received a medal from the Royal Society of Arts. As an engraver he is best known in England for his 'Délices de la Grande Bretagne,' consisting of thirty-six plates of ancient buildings in Norwich and elsewhere, published in 1791.

Library and Surgeon's Hall, building of the Library Company of Philadelphia, engraved in 1800.

He immigrated to Philadelphia in 1794. He made portrait enamels of many people; he made many copies of portraits of George Washington, by Gilbert Stuart. He was the father of Thomas Birch, American portrait and marine painter. His typescript autobiography is held by the Historical Society of Pennsylvania. He died in Philadelphia, aged 79.

http://en.wikipedia.org"
William Blake;;"William Blake was a 19th century writer and artist who is regarded as a seminal figure of the Romantic Age. His writings have influenced countless writers and artists through the ages, and he has been deemed both a major poet and an original thinker.

Born in 1757 in London, England, William Blake began writing at an early age and claimed to have had his first vision, of a tree full of angels, at age 10. He studied engraving and grew to love Gothic art, which he incorporated into his own unique works. A misunderstood poet, artist and visionary throughout much of his life, Blake found admirers late in life and has been vastly influential since his death in 1827.

http://www.biography.com/people/william-blake-9214491"
William Bonnell;;"William C. Bonnell, a Hunterdon County, New Jersey, portrait painter, was born on 1 February 1804 in the town of Clinton. He was the fourth child and second son of Colonel Clement du Mont and Rachel (Wolverton) Bonnell, and the grandson of the Revolutionary War Colonel Abraham Bonnell. Abraham was the proprietor of the Bonnell Tavern, the first place in the region where minutemen were recruited. This tavern was inherited and operated by Clement, who left it to William. It remains in the Bonnell family. On 9 June 1836 William married Margaret Hinchman (1813-1901); they had two children. The Bonnells belonged to the Bethlehem Presbyterian Church in the nearby town of Grandin, and when William died on 12 October 1865, he was buried in the church graveyard. The only records of William's career as an artist are the approximately twenty paintings that have been discovered to date. Many are inscribed on the reverse in large handwriting with his name and the date, and some include the name of the sitter. Chustetunk's Frosty Ferris, an unsigned picture of a hunting dog, is thought to be one of his earliest efforts. The first signed and dated works are companion portraits from 1823. A tavern sign from the Perryville Inn, with a portrait of Andrew Jackson on one side and an American flag on the other, is believed by tradition to have been painted by Bonnell, but he is not known to have painted other signs. In 1825 Bonnell painted at least seven likenesses of Hunterdon County residents. These vary widely in style. At least once Bonnell traveled across the New Jersey border into Pennsylvania, perhaps in search of portrait commissions. In 1833 he painted a pair of portraits of Andrew and Eliza Everhart Yerkes, who owned a farm in Warminster, Bucks County, Pennsylvania. 1833 is the last known date of Bonnell's activity as a painter."
